id,text,pramana_label
186,Scientists say it is real because they are scientists.,Shabda
180,The ethics committee approved the protocol with minor changes to consent wording.,Anumana
62,"Residuals fan out as predicted values grow, so the linear model is probably misspecified.",Anumana
187,"Experts believe stuff, trust me.",Shabda
71,"Sales rose after the ad campaign, so marketing might have helped, though seasonality could also explain it.",Anumana
56,"The fossil sequence shows gradual transitions between forms, which supports gradual change rather than single-event saltation.",Pratyaksha
104,Version control is similar to saving named checkpoints in a video game before trying a difficult level.,Upamana
105,The immune system behaves like a layered defense force that remembers previous invaders.,Upamana
13,The microscope slide shows clustered rod-shaped bacteria along the epithelial edge.,Pratyaksha
118,The double helix unwinds like a zipper when replication machinery moves along the strand.,Upamana
49,The store shelf was mostly empty.,Anumana
93,"He was late, hence he does not care.",Anumana
29,The archive scan shows a crease through the signature line on page three.,Pratyaksha
73,"The roads are wet and the radar showed rain an hour ago, so it probably rained here too.",Anumana
181,The style guide says figures must include error bars when reporting experimental means.,Anumana
38,Her voice sounded tired on the call.,Anumana
52,"The defendant's phone was at the tower near the warehouse at 02:14, and the broken lock was discovered at 02:20, so presence is plausible.",Anumana
191,The professor stated attendance matters without saying why.,Shabda
184,The podcast cited a dermatologist who recommends daily sunscreen on exposed skin.,Shabda
122,Her explanation of entropy was like describing a messy room that keeps getting messier on its own.,Upamana
152,The FDA prescribing information warns against combining this drug with strong CYP3A4 inhibitors.,Shabda
55,"Every time the cache warms, latency drops by half, so cold-start IO is likely the bottleneck.",Anumana
151,"According to the WHO infection-prevention checklist, hand hygiene remains the first line of defense in clinical settings.",Shabda
130,The podcast host said compound interest is like a snowball rolling downhill.,Upamana
79,"The model overfits on the training split, so regularization should help.",Anumana
76,"The plant wilted after we moved it to the windowsill, so too much direct sun might be the issue.",Anumana
148,"Statistics is like lying with numbers, always.",Upamana
78,"The witness changed a detail in the second interview, so memory decay might be at play.",Anumana
39,The sky looked strange around sunset.,Anumana
